model,topic_dispersion_wMAD,mad_ci_lo,mad_ci_hi,perm_z,p_value,q_value,num_topics,min_n_per_topic,stability
Arcee AI Spotlight,0.11778809846630099,0.047372283740932955,0.40355068475027733,-0.42418866088471,0.6313686313686314,0.99000999000999,8.0,12.0,Uncertain
Arcee Virtuoso Large,0.0332414411385015,0.0431932624788347,0.34964566048263745,-1.6782981199722082,0.988011988011988,0.99000999000999,8.0,12.0,Uncertain
Baidu Ernie 4.5 21B A3B,0.08465054163994784,0.04428031372451317,0.3241717478546182,-0.8145440001400348,0.7772227772227772,0.99000999000999,8.0,12.0,Uncertain
Baidu: ERNIE 4.5 300B A47B,0.10010343547647758,0.04497466902912012,0.367754112467231,-0.5519869335564724,0.6613386613386614,0.99000999000999,8.0,12.0,Uncertain
Claude 3.5 Haiku,0.24893065005854773,0.055825905928413376,0.3994779790508339,1.8625914561730739,0.05094905094905095,0.99000999000999,8.0,12.0,Uncertain
Claude 3.5 Sonnet 20240620,0.06419630808558263,0.03603733186338028,0.29857281790203366,-1.1623857512115396,0.8761238761238761,0.99000999000999,8.0,12.0,Uncertain
Claude Sonnet 4,0.08968527694861361,0.03770259128470945,0.31194654949498446,-0.814539830280311,0.7802197802197802,0.99000999000999,8.0,12.0,Uncertain
DeepSeek R1,0.08865537029158486,0.034677774978010535,0.34033693837074436,-0.8545562055395939,0.7902097902097902,0.99000999000999,8.0,12.0,Uncertain
DeepSeek V3,0.08088130438288038,0.04200693589209388,0.3685875961076461,-0.9819496301192691,0.8331668331668332,0.99000999000999,8.0,12.0,Uncertain
Gemini 2.0 flash,0.05065743782784784,0.043940995183822835,0.3400401578862735,-1.4153655877309965,0.957042957042957,0.99000999000999,8.0,12.0,Uncertain
Gemini 2.5 Flash,0.06827768440279328,0.03999391343432653,0.3715652798299948,-1.142566211857666,0.8941058941058941,0.99000999000999,8.0,12.0,Uncertain
Gemini 2.5 Flash Lite,0.040094321893048485,0.037969311211253444,0.3163621182922908,-1.5652842096283315,0.965034965034965,0.99000999000999,8.0,12.0,Uncertain
