model,AOS,CCR,HVS,DAC,AE,FLAT,INTENS,HEDGE,RR,SAFE,CAVEAT1,EVAS,n_total,n_harm,n_devil,SI
Anubis Pro 105b v1,0.1958333333333333,0.3583333333333333,0.0,0.4885416666666666,-0.0034226243072576,0.0026302083333333,0.0042838541666666,0.0115885416666666,0.8578571428571429,0.0169047619047619,0.3645833333333333,0.4895833333333333,96,42,48,0.34970117187500005
Anubis 70b v1.1,0.4401041666666667,0.6171875,0.3714285714285714,0.9614583333333334,0.0933579370571699,0.0062187499999999,0.0189375,0.0133333333333333,0.0476190476190476,0.0759523809523809,0.6354166666666666,0.0208333333333333,96,42,48,0.3224099330357143
Mistral Magistral Small 2506,0.2192708333333333,0.5369791666666667,0.0261904761904761,0.6708333333333334,0.036013959508308,0.00121875,0.0049479166666666,0.0250937499999999,0.1202380952380952,0.064047619047619,0.546875,0.303125,96,42,48,0.27052898065476183
Gemini 2.5 Pro,0.5187499999999999,0.7494791666666667,0.119047619047619,0.9979166666666668,0.1568681529125364,0.0180208333333333,0.04240998515219,0.0263445387899034,0.0021428571428571,0.0571428571428571,0.71875,0.0,96,42,48,0.24501525297619045
Llama 3.1 8B Instruct,0.1624999999999999,0.5609375,0.0,0.828125,0.0076913975297369,0.0139798850574712,0.0074791666666666,0.0271566091954023,0.4169682539682539,0.1091103174603174,0.5416666666666666,0.3020833333333333,96,42,48,0.2223547054597701
Grok 4,0.4567708333333333,0.7791666666666665,0.0999999999999999,0.9958333333333332,0.1143143923289577,0.025748851972121,0.0387794474154208,0.1240415175195306,0.0023809523809523,0.1079768408797526,0.7270833333333333,0.0020833333333333,96,42,48,0.21796142963263637
Gemini 2.5 Flash Lite,0.3333333333333333,0.7276041666666666,0.0261904761904761,0.95625,0.0208966086354534,0.0104542824074074,0.0346469907407407,0.0445949074074074,0.0054761904761904,0.0459523809523809,0.7000000000000001,0.053125,96,42,48,0.19349424396494705
Gemma 3 27b,0.3609375000000001,0.7671875,0.0869047619047618,0.9947916666666666,0.1468921555662413,0.0125208333333333,0.0351822916666666,0.0223880208333333,0.0021428571428571,0.0411904761904761,0.796875,0.0109375,96,42,48,0.18722522321428572
Gpt 4.1,0.3270833333333333,0.7557291666666668,0.0023809523809523,0.9769345238095236,0.0718996981075658,0.0076041666666666,0.0190104166666666,0.0415290178571428,0.0011904761904761,0.116220238095238,0.703125,0.0104166666666666,96,42,48,0.17665215773809523
Gemma 3 12b,0.3411458333333333,0.7578125,0.0047619047619047,0.9812499999999998,0.0221032435873712,0.0103125,0.0326041666666666,0.0272395833333333,0.0047619047619047,0.0538095238095238,0.75,0.0208333333333333,96,42,48,0.17485602678571427
Llama 3.3 70b,0.23125,0.6833333333333332,0.0023809523809523,0.996875,0.1023420008716105,0.0134346751412429,0.0143617584745762,0.0647065677966101,0.2914,0.0808047619047619,0.65625,0.1916666666666666,96,42,48,0.17263497402138825
Z-AI GLM 4.5,0.3177083333333333,0.7994791666666666,0.0773809523809524,0.9572916666666668,0.0561120933542427,0.0097143503438291,0.0403606201506613,0.031652286817328,0.0059523809523809,0.0838095238095238,0.7916666666666666,0.0322916666666666,96,42,48,0.1725159242347862
DeepSeek V3,0.3552083333333333,0.7807291666666667,0.0380952380952381,0.9885416666666668,0.04898681175545,0.0083333333333333,0.0236458333333333,0.0276041666666666,0.0,0.0597619047619047,0.8125,0.0,96,42,48,0.17191592261904762
Gemini 2.5 Flash,0.3692708333333334,0.7947916666666667,0.0261904761904761,0.996875,0.0454113491175902,0.0107291666666666,0.0369270833333333,0.0270833333333333,0.0016666666666666,0.079047619047619,0.78125,0.0015625,96,42,48,0.17146986607142856
Claude 3.5 Sonnet,0.2552083333333333,0.7432291666666666,0.0,0.8979166666666667,0.1258828867540761,0.0023958333333333,0.0101041666666666,0.0600692246835443,0.0314119047619047,0.0846428571428571,0.7291666666666666,0.0927083333333333,96,42,48,0.17045052083333334
Mistral Medium 3.1,0.3333333333333333,0.7817708333333333,0.0476190476190476,0.9989583333333334,0.0117546773538399,0.0090625,0.03109375,0.0236458333333333,0.0,0.0561904761904761,0.8072916666666666,0.0005208333333333,96,42,48,0.16706808035714285
Gemini 2.0 flash,0.3218749999999999,0.7671875,0.0166666666666666,0.9895833333333334,-0.0478035961463799,0.0080777491408934,0.0256510416666666,0.0328043116408934,0.0146595238095238,0.0629202380952381,0.7708333333333334,0.0333333333333333,96,42,48,0.1666863187285223
Gpt 4o Mini,0.2697916666666666,0.7317708333333334,0.0047619047619047,0.9760416666666666,0.0649736636088392,0.0030208333333333,0.0122831723891273,0.0354290057224606,0.0,0.1038392857142856,0.7395833333333334,0.0072916666666666,96,42,48,0.16516852678571423
Gpt 4o,0.296875,0.7739583333333334,0.0428571428571428,0.996875,0.0281346180141047,0.0091666666666666,0.0206770833333333,0.0359114583333333,0.0011904761904761,0.0683333333333333,0.78125,0.0104166666666666,96,42,48,0.1618735119047619
Gpt 4.1 mini,0.2666666666666666,0.7354166666666666,0.0011904761904761,0.9958333333333332,0.0031295672901013,0.0040625,0.0156336405529953,0.039550307219662,0.0004761904761904,0.069147619047619,0.7395833333333334,0.0010416666666666,96,42,48,0.15981882440476192
Grok 3 Mini,0.3697916666666667,0.8177083333333331,0.019047619047619,1.0,0.0901964692009913,0.0174999999999999,0.0268250020854187,0.071076076076076,0.0019047619047619,0.0878571428571428,0.8302083333333333,0.0005208333333333,96,42,48,0.15924702380952382
Qwen 3 32b,0.3151041666666667,0.80625,0.069047619047619,0.996875,0.0267096614939279,0.0086458333333333,0.0241666666666666,0.038125,0.0,0.0823809523809523,0.84375,0.003125,96,42,48,0.1573329613095238
Gpt 3.5 Turbo,0.253125,0.7427083333333334,0.0,0.9958333333333332,0.0302644254527277,0.002296875,0.009,0.0226458333333333,0.0364285714285714,0.0834047619047619,0.75,0.0770833333333333,96,42,48,0.15328658854166663
